epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,632.96,0.33675,0.23068,0.83519,0.99551,1,0.995,0.92257,0.31573,0.18978,0.76936,0.000863116,0.000863116,0.000863116
122,637.882,0.36387,0.23925,0.82226,0.99581,1,0.995,0.92053,0.31601,0.19087,0.77009,0.0008584,0.0008584,0.0008584
123,642.686,0.35606,0.23748,0.83889,0.99558,1,0.995,0.91684,0.31457,0.18725,0.76787,0.000853685,0.000853685,0.000853685
124,647.472,0.33989,0.22862,0.82913,0.99622,1,0.995,0.91677,0.30095,0.18353,0.76617,0.000848969,0.000848969,0.000848969
125,652.201,0.33853,0.22861,0.81683,0.99556,0.99975,0.995,0.91175,0.31643,0.18203,0.76747,0.000844253,0.000844253,0.000844253
126,656.926,0.34061,0.22499,0.82999,0.99447,0.99952,0.995,0.91404,0.31404,0.18114,0.7678,0.000839537,0.000839537,0.000839537
127,661.717,0.35347,0.2323,0.83583,0.99481,1,0.995,0.91557,0.31497,0.18714,0.76749,0.000834822,0.000834822,0.000834822
128,666.518,0.35252,0.22832,0.83522,0.99474,0.99942,0.995,0.90991,0.31744,0.19042,0.76687,0.000830106,0.000830106,0.000830106
129,671.241,0.346,0.23334,0.82542,0.99454,0.99938,0.995,0.92138,0.31284,0.19164,0.76707,0.00082539,0.00082539,0.00082539
130,676.312,0.36058,0.23526,0.82626,0.99453,0.99938,0.995,0.92227,0.32121,0.18377,0.76739,0.000820675,0.000820675,0.000820675
131,680.991,0.34149,0.22378,0.83361,0.9944,0.99941,0.995,0.91708,0.31543,0.17778,0.76724,0.000815959,0.000815959,0.000815959
132,685.837,0.32963,0.2204,0.82723,0.9935,1,0.995,0.91208,0.32222,0.188,0.76829,0.000811243,0.000811243,0.000811243
133,690.58,0.33679,0.22517,0.83705,0.99582,1,0.995,0.91409,0.31227,0.18466,0.76672,0.000806528,0.000806528,0.000806528
134,695.429,0.32711,0.22155,0.82314,0.9954,1,0.995,0.90745,0.31402,0.18391,0.76737,0.000801812,0.000801812,0.000801812
135,700.368,0.3449,0.22463,0.83938,0.99572,1,0.995,0.9123,0.32016,0.18376,0.76769,0.000797096,0.000797096,0.000797096
136,705.095,0.33521,0.22456,0.83282,0.99517,1,0.995,0.91667,0.31047,0.18599,0.76737,0.00079238,0.00079238,0.00079238
137,709.638,0.33444,0.22472,0.82715,0.99579,1,0.995,0.91272,0.31144,0.17694,0.76782,0.000787665,0.000787665,0.000787665
138,714.43,0.33176,0.22418,0.82691,0.9957,1,0.995,0.91798,0.30392,0.18267,0.76764,0.000782949,0.000782949,0.000782949
139,719.14,0.33556,0.22368,0.82678,0.99382,1,0.995,0.91583,0.30819,0.17653,0.76717,0.000778233,0.000778233,0.000778233
140,723.818,0.33085,0.21571,0.8258,0.99103,1,0.995,0.91687,0.31084,0.17916,0.76706,0.000773518,0.000773518,0.000773518
141,728.528,0.32471,0.22215,0.82023,0.99025,1,0.995,0.91643,0.30574,0.17505,0.76601,0.000768802,0.000768802,0.000768802
142,733.292,0.32854,0.2191,0.82556,0.99508,1,0.995,0.92022,0.31046,0.18035,0.76697,0.000764086,0.000764086,0.000764086
143,738.081,0.34308,0.22776,0.83466,0.99565,0.9997,0.995,0.92528,0.29561,0.17761,0.76524,0.000759371,0.000759371,0.000759371
144,742.78,0.34034,0.22992,0.8249,0.99516,1,0.995,0.92005,0.30996,0.18335,0.76625,0.000754655,0.000754655,0.000754655
145,747.419,0.33317,0.22182,0.82639,0.99693,1,0.995,0.92163,0.30473,0.18375,0.7658,0.000749939,0.000749939,0.000749939
146,752.188,0.33447,0.21599,0.82942,0.99634,1,0.995,0.91561,0.31259,0.17855,0.76743,0.000745223,0.000745223,0.000745223
147,756.877,0.33592,0.22802,0.8356,0.99564,0.99958,0.995,0.91806,0.31887,0.18142,0.76742,0.000740508,0.000740508,0.000740508
